time_months,at_risk_weight,event_weight,censor_weight,survival_not_recovered,asset,anchor,recovery_level
0,2.0,0.0,0.0,1.0,BTC_USD,FIRST_CUT,50%
2,2.0,2.0,0.0,0.0,BTC_USD,FIRST_CUT,50%
0,2.0,0.0,0.0,1.0,BTC_USD,FIRST_CUT,100%
2,2.0,1.0,0.0,0.5,BTC_USD,FIRST_CUT,100%
5,1.0,1.0,0.0,0.0,BTC_USD,FIRST_CUT,100%
0,2.0,0.0,0.0,1.0,BTC_USD,FIRST_HIKE,50%
2,2.0,1.0,0.0,0.5,BTC_USD,FIRST_HIKE,50%
7,1.0,1.0,0.0,0.0,BTC_USD,FIRST_HIKE,50%
0,2.0,0.0,0.0,1.0,BTC_USD,FIRST_HIKE,100%
3,2.0,1.0,0.0,0.5,BTC_USD,FIRST_HIKE,100%
12,1.0,1.0,0.0,0.0,BTC_USD,FIRST_HIKE,100%
0,2.0,0.0,0.0,1.0,BTC_USD,LAST_HIKE,50%
2,2.0,1.0,0.0,0.5,BTC_USD,LAST_HIKE,50%
3,1.0,1.0,0.0,0.0,BTC_USD,LAST_HIKE,50%
0,2.0,0.0,0.0,1.0,BTC_USD,LAST_HIKE,100%
4,2.0,1.0,0.0,0.5,BTC_USD,LAST_HIKE,100%
8,1.0,1.0,0.0,0.0,BTC_USD,LAST_HIKE,100%
0,2.0,0.0,0.0,1.0,BTC_USD,PAUSE_START,50%
2,2.0,2.0,0.0,0.0,BTC_USD,PAUSE_START,50%
0,2.0,0.0,0.0,1.0,BTC_USD,PAUSE_START,100%
3,2.0,1.0,0.0,0.5,BTC_USD,PAUSE_START,100%
8,1.0,1.0,0.0,0.0,BTC_USD,PAUSE_START,100%
0,7.0,0.0,0.0,1.0,DXY,FIRST_CUT,50%
2,7.0,1.5,0.0,0.7857142857142857,DXY,FIRST_CUT,50%
3,5.5,1.0,0.0,0.6428571428571428,DXY,FIRST_CUT,50%
5,4.5,1.0,0.0,0.49999999999999994,DXY,FIRST_CUT,50%
7,3.5,0.6666666666666666,0.0,0.4047619047619047,DXY,FIRST_CUT,50%
12,2.833333333333333,0.0,1.0,0.4047619047619047,DXY,FIRST_CUT,50%
20,1.8333333333333333,1.0,0.0,0.18398268398268394,DXY,FIRST_CUT,50%
60,0.8333333333333333,0.0,0.8333333333333333,0.18398268398268394,DXY,FIRST_CUT,50%
0,7.0,0.0,0.0,1.0,DXY,FIRST_CUT,100%
3,7.0,1.0,0.0,0.8571428571428572,DXY,FIRST_CUT,100%
4,6.0,0.5,0.0,0.7857142857142857,DXY,FIRST_CUT,100%
5,5.5,1.0,0.0,0.6428571428571428,DXY,FIRST_CUT,100%
6,4.5,1.0,0.0,0.49999999999999994,DXY,FIRST_CUT,100%
8,3.5,0.3333333333333333,0.0,0.45238095238095233,DXY,FIRST_CUT,100%
12,3.1666666666666665,0.0,1.0,0.45238095238095233,DXY,FIRST_CUT,100%
17,2.1666666666666665,0.3333333333333333,0.0,0.38278388278388276,DXY,FIRST_CUT,100%
21,1.8333333333333333,1.0,0.0,0.17399267399267396,DXY,FIRST_CUT,100%
60,0.8333333333333333,0.0,0.8333333333333333,0.17399267399267396,DXY,FIRST_CUT,100%
0,7.0,0.0,0.0,1.0,DXY,FIRST_HIKE,50%
1,7.0,1.5,0.0,0.7857142857142857,DXY,FIRST_HIKE,50%
